Main_Category,Course_Title,Description,Course_Content,Lecturers_name
Development,"Build an app with React, Redux and Firestore from scratch","Learn how to build a web app with React, Redux and Firestore from beginning to publishing","Students will be able to create an application using React, Redux and Firestore by the end of this course.. Students will improve their javascript skills by taking this course",Neil Cummings
Development,React - Mastering Test Driven Development,"Upgrade your React skills with Test Driven Development! Jest, Enzyme, Redux, middleware, ES6, & more!",How to use Test and Behavior Driven Development to build React applications.. The ability to discuss the approach of Test Driven Development with fellow software engineers.. How to build full React applications with thorough tests.,David Joseph Katz
Development,Learn Angular 2 from Beginner to Advanced,Learn how to develop web applications using Angular 2,Develop web applications using Angular 2. Create single-page applications. Write cleaner and reusable code for better maintainability,Ermin Kreponic. Aldin Omerdic
Development,Build Enterprise Applications with Angular 2 (and Angular 4),"Firebase, Authentication, Ionic, Integration with ASP.NET Core, Performance Optimization, Redux and Unit Testing",Build real-time apps with Angular and Firebase. Build mobile apps with Angular and Ionic. Implement authentication and authorization using Auth0 and JSON Web Tokens (JWT),Mosh Hamedani
Development,Angular Router In Depth (Angular 17),Build large-scale Angular 17 Single Page Applications (SPAs) with the powerful Angular Router,Code in Github repository with downloadable ZIP files per section. In-depth guided tour to the Angular Router. Angular Router Best Practices,Angular University
Development,Angular Security Masterclass (with FREE E-Book),Practical Guide to Angular Security  - Add Authentication / Authorization (from scratch) to an Angular / Node App,"Code in Github repository with downloadable ZIP files per section. Get a solid foundation in Web Security Fundamentals. Perform the attacks yourself manually, in order to fully understand them",Angular University
Development,Angular Advanced MasterClass & FREE E-Book,"Build Your Own Library,  Learn Advanced Angular Features",Code in Github repository with downloadable ZIP files per section. Learn the most advanced features of Angular. learn how to how to build open source Angular libraries,Angular University
Development,"Angular 15 Masterclass with TypeScript, Firebase, & Material","Master and build reactive Single Page Applications(SPA) from scratch using Angular (formerly ""Angular 2"" or ""AngularJS"")",Built a Single Page Application using Angular. Using TypeScript. Implementing various building blocks in Angular,Siddharth Ajmera
Development,"React, Angular, Node In-Depth Guide: Beginner to Pro (2018)","Master Angular (Angular 5, Angular 6,incl. Angular 7), React + Redux (React 16) & Node. Stripe, AWS,  Express included.","Develop powerful, modern, real-world web applications with React, Angular and Node. Completely understand the processes and architecture of Angular, React and Node. Use gained knowledge to create your own web applications in most demanded frameworks on the market",Filip Jerga
Development,Next.js Web Dev: Master this Powerful React Framework,"Next.js Mastery: Harnessing React, Advanced Routing, Seamless API Integration, and Web Optimization Strategies","Understand Next JS fundamentals, including its core features and advantages.. Successfully set up and install Next JS for web development projects.. Create dynamic and interactive web applications using advanced routing techniques.",Meta Brains
Development,NextJS E-Com Masterclass: Learn The All New Next JS,Elevate Your Skills: Master Full-Stack Next JS E-Commerce Development,"Build a complete e-commerce app using React, Next js, and TypeScript.. Integrate MongoDB for efficient data storage and retrieval.. Implement Cloudinary for image management and optimization.",Niraj Dhungana
Development,Next.js With Tailwind CSS-Build a Frontend Ecommerce Project,Learn to Design Next.js Apps With Tailwind CSS. Build a Complete Responsive Frontend E-commerce Project.,Next JS to Build a Complete Frontend Project. Next JS With Tailwind CSS. How to Design a Frontend App Using Tailwind CSS,Vapa Academy
Development,Next.js with React - Developer's App (Practical Way),"Build a personal app with Next/React JS and Typescript. Blogs, portfolios, and search features. No 3rd party dependency.",Get an understanding of how to create personal app in practical way. Create a complete portfolio/blog app. Present yourself with your content platform,Eincode by Filip Jerga. Filip Jerga
Development,"Full Stack Next.js with Redux, Express & MongoDB",Server side React with Next and Redux,How to build a Server-Side Rendered React app with Next JS. How to use Redux in Next JS. How to Create a React app with better SEO Performance,Nurudeen Amedu
Development,NextJS - Build a Full-Stack Authentication with NextAuth,"Build a modern authentication system in NextJS from scratch using NextAuth, JWT, PostgreSQL, Prisma and NodeJS",Setup Full-Stack Authentication by using the latest technologies. Implement NextAuth with JWT from scratch or add it to an existing project. Setup Prisma ORM with NextJS,Armin Sarajlic
Development,Universal React with Next.js. Complete guide - Updated 2020,"Including React, ES6, Firebase/firestore, Firebase/auth and many new ideas",Next js. React. ES6,MoHo Khaleqi
Development,Create your first portfolio and host it live - for beginners,"Design and build websites using html, css, javascript and typescript from scratch for absolute beginners.",Develop static website. Apply styles using css. Introduction to JavaScript,Manzoor Ahmed
Development,CSS Complete Course For Beginners,Learn CSS With CSS Theory And Practical,Introduction to CSS concepts. Theory And Practical demonstrations of CSS concepts. Write CSS Scripts And  Understanding Concepts,PROPER DOT INSTITUTE
Development,The Complete HTML & CSS Course - From Novice To Professional,In this Course Students will be able to learn a Complete HTML & CSS Course taking them From Novice To Professional,"Make websites using HTML & CSS. Understand HTML & CSS coding. learn some advance languages like HTML5 & CSS3, PHP, ASP.net",Joe Parys. Shahzaib Kamal. Joe Parys Support
Development,CSS And Javascript Crash Course,Learn CSS And JavaScript Programming Language With Practical Interaction,"Introduction to CSS concepts. Practically Getting Started With CSS Styles, CSS Fonts. Practical demonstrations of CSS concepts",PROPER DOT INSTITUTE
Development,CSS Crash Course For Beginners,Learn CSS With Practical Demonstrations,Introduction to CSS concepts. Practical demonstrations of CSS concepts. Write CSS Scripts And  Understanding Concepts,PROPER DOT INSTITUTE
Development,The Creative HTML5 & CSS3 Course - Build Awesome Websites,"Learn HTML5 and CSS3 by creating 3 amazing, well designed and animated websites from scratch!",Create Websites from absolute scratch!. Learn the principles of web development.. Styling nice looking websites.,Dev Ed. Maxine Tillman
Development,Make a Responsive Portfolio Website: JavaScript and HTML,Use JavaScript and HTML to create the ultimate responsive portfolio website from scratch!,Build their own website using a range of technical skills. Easily utilise third party tools to make your site stand out,Reece Kenney
Development,Creating a Responsive HTML Email,"Create attractive, responsive, HTML Emails, that work in over 30 combinations of the most commonly used email clients.","Learn to create an HTML Email layout compatible with a wide range of email clients. Discover techniques to design elements that will ""gracefully degrade"" in older email clients without losing the design integrity. Add CSS to your HTML Email to take advantage of newer email clients and varying screen sizes",Chris Converse
Development,HTML5 & CSS3 Complete Course: Build Websites like a Pro,Learn how to build websites from scratch with HTML and CSS in a course designed to take you from beginner to expert,Learn how to design quality websites using HTML and CSS. Learn the fundamentals of coding in CSS and how to style websites beautifully. Learn how to carve out a career in frontend website development and the necessary skills to learn to continue on this path,Meta Brains
Development,Web Development Wizardry: HTML & CSS Course for Beginners.,"More than 26,000 student enrolled on this Web Development Wizardry: HTML and CSS Course for Beginners 2023.","You, Will Learn How To Install and setup Your web development complier or editor from Zero and add extensions.. You, Will Learn HTML and basics and higher things from zero if you don't know anything about HTML.. You, Will Learn CSS and basics and higher things from zero if you don't know anything about CSS.",Zaid Smadi
Development,ASP.NET Core Identity - Authentication & Authorization [MVC],Learn Authentication & Authorization in ASP.NET Core (.NET 8) as we explore Identity Library with MVC and Razor Library,ASP NET Core Identity with MVC. Authorization with Roles. Implementing Two-Factor Authentication,DotNet Mastery. Bhrugen Patel
Development,Complete Guide to Web API in .NET 8: Master API Development,Master RESTful API Development in .NET 8: Build and Consume APIs in Real-World Applications,Master ASPNET Core Web API (from zero to hero). Create a Blazor WebAssembly App to consume the Web API. Using Identity Server 4 in-depth,Frank Liu
Development,ASP.NET MVC Complete Guide using .NET Core [.NET8 Updated],"ASP.NET MVC Mastery: Dive Deep into .NET Core MVC with Real-World App, Entity Framework Core and ASP.NET Core Identity","Learn, Understand and Create .NET Core MVC Websites From Scratch - Updated to .NET8. Building scalable .NET MVC Applications from scratch using C# and .NET Core. Learn and Apply Entity Framework Core to perform CRUD operations on a SQL Server database",Sameer Saini
Development,AppSettings and Secrets in ASP.NET Core,Understand AppSettings and learn how to secure your application secrets from development to production in ASP.NET Core,AppSettings in .NET Core. Accessing Secrets in .NET Core. What are Application Secrets and why should you secure them?,DotNet Mastery. Bhrugen Patel
Development,Building  microservices  using asp.net core 5.0 and docker,"Building Event-Driven Microservices apps Using AspNet Core 5.0, Rabbitmq, Masstransit, Face detection and SignalR Core","building event-driven microservices  apps  using aspnet core 5.0, rabbitmq,masstransit, signalr core and face detection",F. Frank Ozz
Development,Building an Enterprise Application with ASP.NET Core MVC,"Full-Stack MVC Web Application with  ASP.NET Core 3.0, ASP.NET Core 2.2 & Entity Framework Core",Implement multi-layered architecture and their dependencies on each other. Using .net core Class Libraries. Implementing several business logic,Everest Nwosu
Development,"Create a Twitter Clone with Node.js, Socket.IO and MongoDB","Learn Node.js, MongoDB and more by making the ultimate Twitter clone website completely from scratch!",How to create a social network just like Twitter. Node JS. Socket IO,Reece Kenney
Development,Modern web development course: beginner to advanced,"Start with HTML, CSS, JavaScript and move to NodeJS/HapiJS, ReactJS, and finally implement a sentiment analyzer.","Move from level ""no idea"" in web application development to advanced level.. Understand how to style your webpages with CSS. Understand how to implement HTML pages",Evans Boateng Owusu
Development,Understanding Node.js: Core Concepts,Understanding Node.js without any other NPM packages. Let's take your back-end engineering skills to the next level!,Learn some of the vital concepts of back-end engineering. Get to a level capable of easily learning various NodeJS frameworks and libraries. Truly and deeply understand what exactly NodeJS is and see its full potentials far beyond just creating web servers,Joseph Heidari
Development,"Node JS Cluster with PM2, RabbitMQ, Redis and Nginx","Learn how to create Node JS cluster, use PM2, RabbitMQ, Redis Cache and Nginx as a Reverse proxy and load balancer",Running Node JS in a Cluster. Using PM2 to create and manage Node JS Cluster for load distribution. Using RabbitMQ with PM2 to distribute the load,Pravinkumar Dabade
Development,Learn Web Scraping with NodeJs - The Crash Course,"Learn and be great at Web Scraping with NodeJs and tools like: Puppeteer by Google, Request, Cheerio, NightmareJs.",Create Data Scrapers from Scratch to Finish with NodeJs. Choosing the right tools for Scraping different websites. How to use the Top Scraping tools for NodeJs to your Advantage,Grohs Fabian
Development,Get Started With NodeJS :  For Beginners,Start NodeJS From Scratch,Basics of NODE. V8 Engine. NODE Core Modules,Mohamed Ferchichi
Development,Build an Amazon clone: Nodejs + MongoDB + Stripe Payment,Learn how to use Javascript Serverside Nodejs to build Amazon Clone, Students will be able to build their own dream e-commerce web application and sell their favorite stuff online!,Arash Yahya
Development,Mathematical Foundation For Machine Learning and AI,Learn the core mathematical concepts for machine learning and learn to implement them in R and python,Refresh the mathematical concepts for AI and Machine Learning. Learn to implement algorithms in python. Understand the how the concepts extend for real world ML problems,Eduonix Learning Solutions. Eduonix-Tech .
Development,DeepFakes & Voice Cloning: Machine Learning The Easy Way,"Stable Diffusion, Midjourney, Generative AI, Fake News, +More for SEO, Internet Marketing, & Social Engineering!",Learn how to change lips / mouth movements for foreign film dubs. Voice cloning. TTS (text-to-speech),Lazy Programmer Inc.. Lazy Programmer Team
Development,Learn Machine learning & AI (3 Projects) [2024],Get well versed with Machine learning and AI by working on Hands-on Projects.,Machine Learning and its applications. Building End to End Machine Learning Projects. Deployment of Machine & Deep learning algorithms,EdYoda Digital University
Development,Machine Learning & Data Science A-Z: Hands-on Python 2024,"Learn NumPy, Pandas, Matplotlib, Seaborn, Scikit-learn, Scipy and develop Machine Learning Models in Python",Understanding the basic concepts. Complete tutorial about basic packages like Numpy and Pandas. Data Visualization,"Navid Shirzadi, Ph.D."
Development,Machine Learning Classification Bootcamp in Python,Build 10 Practical Projects and Advance Your Skills in Machine Learning Using Python and Scikit Learn,"Apply advanced machine learning models to perform sentiment analysis and classify customer reviews such as Amazon Alexa products reviews. Understand the theory and intuition behind several machine learning algorithms. Implement classification algorithms in Scikit-Learn for K-Nearest Neighbors, (SVM), Decision Trees, Random Forest, Naive Bayes, and Logistic Regression","Dr. Ryan Ahmed, Ph.D., MBA. Mitchell Bouchard. SuperDataScience Team. Ligency Team"
Development,Data Science for Business Leaders: ML Fundamentals,A no-code introduction for leaders to understanding machine learning (and AI) as a business capability.,"Learn what models are, how they work, and how they fit in the overall picture of machine learning (ML) and data science.. Lots of terminology (""AI"", ""deep learning"", etc.); plain and simple explanations (without the hype).. Fair warning: NO hands-on model development (NO code & NO complex formulas)",Robert Fox
Development,Python for Machine Learning: The Complete Beginner's Course,Learn to create machine learning algorithms in Python for students and professionals,Learn Python programming and Scikit learn applied to machine learning regression. Understand the underlying theory behind simple and multiple linear regression techniques. Learn to solve regression problems (linear regression and logistic regression),Meta Brains
Development,"Artificial Intelligence 2.0: AI, Python, DRL + ChatGPT Prize","Artificial Intelligence 2.0: The smartest combination of Double Deep Q-Learning, Policy Gradient, Actor Critic, DDPG",Q-Learning. Deep Q-Learning. Policy Gradient,Hadelin de Ponteves. SuperDataScience Team. Ligency Team
Development,Practical AI with Python and Reinforcement Learning,Learn how to use Reinforcement Learning techniques to create practical Artificial Intelligence programs!,Reinforcement Learning with Python. Creating Artificial Neural Networks with TensorFlow. Using TensorFlow to create Convolution Neural Networks for Images,Jose Portilla. Pierian Training
Development,Modern Reinforcement Learning: Deep Q Agents (PyTorch & TF2),How to Turn Deep Reinforcement Learning Research Papers Into Agents That Beat Classic Atari Games,How to read and implement deep reinforcement learning papers. How to code Deep Q learning agents. How to Code Double Deep Q Learning Agents,Phil Tabor
Development,Python for Deep Learning: Build Neural Networks in Python,"Complete Deep Learning Course to Master Data science, Tensorflow, Artificial Intelligence, and Neural Networks",Learn the fundamentals of the Deep Learning theory. Learn how to use Deep Learning in Python. Learn how to use different frameworks in Python to solve real-world problems using deep learning and artificial intelligence,Meta Brains
Development,YOLOv7 YOLOv8 YOLOv9 - Deep Learning Course,"Train Custom Dataset, Object Detection, Pose Estimation, Instance Segmentation, Image Classification, Cool Web Dashboard","How to run, from scratch, a YOLOv7, YOLOv8, & YOLOv9 program to detect 80 object classes in < 10 minutes. How to install and train YOLOv7, YOLOv8, & YOLOv9 using your own Custom Dataset and perform Object Detection for image, video and Real-Time using Webcam/Camera. How to use YOLOv7 & YOLOv8 new features: Instance Segmentation, Pose Estimation, Image Classification, Object Tracking + Real-world Projects",Dr. Priyanto Hidayatullah (Ph.D in AI). Stunning Vision AI Academy
Development,Data Science: Natural Language Processing (NLP) in Python,"Applications: decrypting ciphers, spam detection, sentiment analysis, article spinners, and latent semantic analysis.",Write your own cipher decryption algorithm using genetic algorithms and language modeling with Markov models. Write your own spam detection code in Python. Write your own sentiment analysis code in Python,Lazy Programmer Inc.
Development,Programming with Python : HandsOn Introduction for Beginners,Eliminate roadblocks to learn programming: Start writing your own programs in Python 3 from scratch,Obtain a strong understanding on the fundamentals of programming. Understand the basics of Python language. Write your own independent programs in Python,Febin George
Development,"Python for Data Structures, Algorithms, and Interviews!",Get a kick start on your career and ace your coding interviews!,Create a great resume. Have a LinkedIn and Github profile for recruiters. Understand all major Data Structures and Algorithms,Jose Portilla. Pierian Training
Development,Python 3: Deep Dive (Part 1 - Functional),"Variables, Functions and Functional Programming, Closures, Decorators, Modules and Packages","An in-depth look at variables, memory, namespaces and scopes. A deep dive into Python's memory management and optimizations. In-depth understanding and advanced usage of Python's numerical data types (Booleans, Integers, Floats, Decimals, Fractions, Complex Numbers)",Dr. Fred Baptiste
Development,Artificial Intelligence: Reinforcement Learning in Python,"Complete guide to Reinforcement Learning, with Stock Trading and Online Advertising Applications",Apply gradient-based supervised machine learning methods to reinforcement learning. Understand reinforcement learning on a technical level. Understand the relationship between reinforcement learning and psychology,Lazy Programmer Team. Lazy Programmer Inc.
Development,Teach Your Kids to Code: Learn to Program Python at Any Age!,"Short, colorful apps and games you can use to teach and learn programming at any age! Chromebook, PC, Mac and Linux!","Teach students to code apps and games in Python 3.9 for Chromebook, PC, Mac, or Linux. Draw colorful spirals and shapes with Turtle graphics in Python. Create fun, playable games like War, Yahtzee, and Rock-Paper-Scissors",Bryson Payne
Development,Python for Beginners with Examples,A Python course for the busy ones to learn Python programming. Learn and practice Python by building two complete apps.,"Learn Python from scratch. Learn all Python basics such as variables, functions, conditionals, loops, text processing, file processing and more.. Learn the basics by using real-world examples",Ardit Sulce
Development,Create a Python Powered Chatbot in Under 60 Minutes,No previous Python experience necessary!,"Running a web server using Python and Flask. Create a smart, highly interactive Chatbot. Publish a Chat Bot to the web for free!",Jason Kries
Development,ChatGPT For YouTube Mastery | How To Use ChatGPT For YouTube,YouTube With ChatGPT Equals Content TAKEOVER | YouTube & ChatGPT Secrets | Youtube Automation | YouTube Audience Growth,How to use ChatGPT-3 to write optimized video scripts for audience retention. How increased views on YouTube. How to use ChatGPT to create YouTube Automation channels,Wealth Whispers. Cornell Literacy
Development,Natural Language Processing Real-World Projects in Python,"Solve 3 real Business Problems. Build Robust AI, NLP models for Sentiment, Security & Stock News Domain..",Hands on Real-World Projects on Various Domains of Natural Language Processing. Develop Natural Language Processing Models to Customer Sentiments. Develop Natural Language Processing Models to predict Stock News,Shan Singh
Development,2024 Bootcamp: Generative AI + LLM App Development,From zero to professional level: learn the keys to AI and build the most potential Generative AI applications.,"Keys to Artificial Intelligence and the new Generative AI.. Keys to LLM Applications, the highest potential applications of Generative AI.. How to create an LLM Application from scratch to professional level.",Julio Colomer
Development,Product Design in AI | Artificial Intelligence and Users,The Most Comprehensive UX for AI Course - Learn to Design for Artificial Intelligence as a UX/UI Designer of the Future,"You will learn to apply AI principles in product design, understand differences between traditional & AI design and create user-centered AI systems.. You will learn to address ethical concerns, understand the basics of machine learning, and improve communication in AI product development teams.. You will learn to identify user needs, goals and feedback in AI design, to create truly beneficial and user-centered products.",Emily UXAI
Development,Deep Learning: Natural Language Processing with Transformers,"Use Huggingface transformers and Tensorflow to build Sentiment analysis, Translation, Q&A, Search, Speech,... projects",The Basics of Tensors and Variables with Tensorflow. Mastery of the fundamentals of Machine Learning and The Machine Learning Developmment Lifecycle.. Basics of Tensorflow and training neural networks with TensorFlow 2.,Neuralearn Dot AI
Development,Prompt Engineering For ChatGPT,Chat GPT Unlocked,Everything you need to get started with Chat-GPT. Learn how to master Chat-GPT for a number of use cases. Implement advanced techniques for customizing and integrating chat-gpt with other tools,Samson Vowles
Development,NLTK: Build Document Classifier & Spell Checker with Python,NLP with Python - Analyzing Text with the Natural Language Toolkit (NLTK) - Natural Language Processing (NLP) Tutorial,"NLTK Main Functions: Concordance, Similar, Lexical Dispersion Plot. Text Tokenization. Text Normalization: Stemming & Lemmatization",GoTrained Academy. Waqar Ahmed
Development,Intro to Natural Language Processing (NLP) in Python for AI,"Learn the NLP Technology Behind AI Tools Like ChatGPT: Understanding, Generating, and Classifying Human Language",Natural Language Processing for AI. Text preprocessing techniques. Text tagging and entity extraction,365 Careers. Lauren Newbould
Development,Applied Generative AI and Natural Language Processing,"Understand Generative AI, Prompt Engineering, Huggingface-Models, LLMs, Vector Databases, RAG, OpenAI, Claude, Llama2",Introduction to Natural Language Processing (NLP). model implementation based on huggingface-models. working with OpenAI,Bert Gollnick
Development,Natural Language Processing Bootcamp in Python,"Learn the fundamentals of Text Mining and NLP using Text Processing, NLTK, Sentiment Analysis and Neural Networks",Dealing with Strings in Python. Working with the Natural Language Toolkit Library. Understanding the Intuition behind Word Vectors,Ivo Bernardo
Development,Data Augmentation in NLP,Augment your Dataset and Outperform,Data Augmentation using Word Embeddings. Data Augmentation using Word Embeddings - Implementation. Data Augmentation using BERT,Prathamesh Dahale
Development,zero to hero - ChatGPT & Build LLM powered apps in langchain,Learn to build large language model application using langchain,Become proficient in LangChain. Build LLM powered applications. Large Language Models theory for software engineers,Neuralclass Academy
Development,Build a LangChain Content Creation Chatbot,Transforming Blogging with Chatbots &amp; Blockchain,Designing and developing chatbots for blog automation and content management.. Implementing natural language processing (NLP) techniques for understanding user queries and generating relevant responses.. Integrating LangChain application for blockchain-based content authentication and verification.,Augmented Startups
Development,Learn LangChain: Build LLM Applications with LangChain,"Learn all the basics of LangChain by building LLM-powered applications with OpenAI, Build Web Apps with Streamlit",How to Use LangChain to Build LLM-Powered Applications. Deep Dive into LangChain. How to build an end to end LangChain based Generative AI application,Muhammad Moin
Development,Python CLI Chat Using Langchain,Empower Language Model 's(LLM's) to harness the vast information available on the internet.,Interact with Large Language Models using Python.. Learn the basics of setting up a prompt for LLM's.. Use agents to get current information through tools we define to assist our LLM.,Stephen Chesnowitz
Development,Regression Analysis / Data Analytics in Regression,Gain Important and Highly Marketable Skills in Regression Analysis - Tame the Regression Beast Today!,"Understand when to use simple, multiple, and hierarchical regression. Understand the meaning of R-Square and the role it plays in regression. Assess a regression model for statistical significance, including both the overall model and the individual predictors",Quantitative  Specialists
Development,"Become a Data Analyst: Excel, SQL & Tableau - 3-in-1 Bundle","Boost Your Career with Data Analytics: Learn Excel, SQL &amp; Tableau for Advanced Business Insights &amp; Competitive Advantage","Discover the power of Excel and use it to manipulate and analyze data like a pro.. Master SQL queries to extract, filter, and aggregate data from relational databases.. Explore Tableau's interface and create stunning visualizations that communicate insights.",Start-Tech Academy
Development,"Data Analysis | SQL,Tableau,Power BI & Excel | Real Projects",4-in-1 bundle: Practical learning of the essential tools used in Data Science with hands on examples and projects,"Learn and Understand SQL and it's role in Data Analysis.. Develop proficiency in writing complex SQL queries to extract, manipulate, and analyze data.. Develop the skills to clean, transform, and prepare data for analysis using Excel.",Graeme Gordon
Development,Python For Data Science A-Z: EDA With Real Exercises In 2024,"Work With Pandas, Python For Data Science, ML &amp; Data Analysis, Data Prep With EDA &amp;100+ Exercises &amp; Real Life Projects","Build a Solid Foundation in Data Analysis with Python. You will be able to work with the Pandas Data Structures: Series, DataFrame and Index Objects. Learn hundreds of methods and attributes across numerous pandas objects",Pruthviraja L
Development,"Become a Data Analyst -  (Python, Excel, SQL, Power BI )",Get Real World Data Analyst Skills with Hands-on Practice,Perform data analysis & visualization with Python. Perform data analysis & visualization with Excel. Perform data exploration and analysis with SQL,247 Learning
Development,Survival Analysis in R,"Use R to master survival analysis, duration analysis, event time analysis or reliability analysis.",The general concepts of survival analysis. How to use R for survival analysis. Identify the best packages for survival data,R-Tutorials Training
Development,Data Mining with R: Go from Beginner to Advanced!,"Learn to use R software for data analysis, visualization, and to perform dozens of popular data mining techniques.","Use R software for data import and export, data exploration and visualization, and for data analysis tasks, including performing a comprehensive set of data mining operations.. Effectively use a number of popular, contemporary data mining methods and techniques in demand by industry including: (1) Decision, classification and regression trees (CART); (2) Random forests; (3) Linear and logistic regression; and (4) Various cluster analysis techniques.. Apply the dozens of included ""hands-on"" cases and examples using real data and R scripts to new and unique data analysis and data mining problems.","Geoffrey Hubona, Ph.D."
Development,Ecology in R,"Ecological data-mining, map making and GIS, SDM, movement models/home range analyses, phylogenetics & tree building",Mining ecological and environmental data. Species range map making. Species Distribution Modelling (SDM),Russell J Gray
Development,Statistics with R - Intermediate Level,Statistical analyses using the R program,"run parametric and non-parametric correlation (Pearson, Spearman, Kendall). perform partial correlation. run the chi-square test for association",Bogdan Anastasiei
Development,Learn By Example: Statistics and Data Science in R,"A gentle yet thorough introduction to Data Science, Statistics and R using real life examples","Harness R and R packages to read, process and visualize data. Understand linear regression and use it confidently to build models . Understand the intricacies of all the different data structures in R",Loony Corn
Development,Practical Data Science: Analyzing Stock Market Data with R,"Learn basic financial technical analysis technics using R (quantmod, TTR) to better understand your favorites stocks. ","Use R on stock market data for insight and ideas. Download free, daily stock market data from Yahoo. Plot great looking financial charts",Manuel Amunategui
Development,Maps with R Leaflet,Transform your data into interactive maps!,Create a dynamic map with a customized theme.. Overlay data on maps.. Add interactive data labels and controls.,Gregory Sward
Development,"Android TDD Masterclass - Coroutines, Jetpack","Master Android app development (Kotlin) with Clean Architecture, Test driven development, HILT, Espresso & Unit Testing","Develop a state of the art  Android 11 application: Kotlin, Coroutines, DI with Hilt, Jetpack Navigation Component, Kotlin Flow, MVVM. Develop an application purely with Outside-In Test Driven Development. We focus on producing a real production app with business logic and common UX patterns. Become a senior / architect Android engineer and advance in your career",Petros Efthymiou
Development,Android Multithreading Masterclass,"Master multithreading in Android: from a single thread to Thread Pools, RxJava and Kotlin Coroutines","Write multithreaded code of any complexity in your Android apps. Learn the difference between the UI and background threads. Understand advanced concepts like Synchronization, Locks, Volatility and Happens-Before",Vasiliy Zukanov
Development,Modern Android Architectures - MVVM MVP MVC - in Java,"Android Architecture Masterclass teaching you MVC, MVP and MVVM using Google Android Architecture Components in Java","Android Architectures. Theory and Practical Applications. MVC, MVP, MVVM",Catalin Stefan
Development,Learn Android Programming From Scratch - Basics,A Fun Course For Learning Android Programming.,By the end of the course you will be able to create Android applications based on your ideas. Able to choose the best layout for your apps. Learn the concept behind Android constructs,Eduonix Learning Solutions. Eduonix-Tech .. Eduonix Support
Development,Modern Food Recipes App - Android Development with Kotlin,Develop beautiful and fully functional Android App in Android Studio using the power of Kotlin programming language.,Develop a fully functional Android App. Food Recipes Android app. ROOM Database,Stefan Jovanovic
Development,The Complete Android App Development Masterclass: Build Apps,Create Real World Applications using Java and Become A Professional Android App Developer From Scratch Today!,Complete Android App Development. Java Language. Designing Modern User Interfaces,Meisam Mansourzadeh. Joe Parys
Development,iOS 12 & Xcode 10 - Complete Swift 4.2 & Objective-C Course,A Complete iOS 12 and Xcode 10 Course with Swift 4.2 & Objective-C,Full understanding of Xcode 10 and all it has to offer. Learn how to program for IOS 12 to create your own apps. Create fully featured games,Aaron Caines
Development,Intermediate iOS - Get Job Ready with Swift 2,"Your beginner course got your started on iOS, this course will take you to the next level. Master making iPhone apps",Integrate Apple Pay and In-App purchases into their apps,Nick Walter. Mark Wahlbeck
Development,iOS 12 Swift 4.2 - The Complete iOS App Development Bootcamp,From Beginner to iOS App Developer with Just One Course!,Be able to build any app you want. Start your own app based business. Create a portfolio of apps to apply for junior developer jobs at a technology company,Dr. Angela Yu
